h3_index,hazard_baseline,hazard_enhanced,vulnerability,risk_baseline,risk_enhanced,risk_category,burned
89283000517ffff,0.8225117652941284,0.9398684704395416,0.18074988345808474,0.14866890571981725,0.1698811164978755,Low,0
8928300051bffff,0.8131452269307903,0.9248992195192541,0.1732983467655061,0.14091672350736825,0.16028350566739363,Low,0
89283000523ffff,0.7860488628491101,0.9017978821298311,0.17627885272458538,0.1385637917285061,0.1589678960513075,Low,0
89283000527ffff,0.9600280031982134,0.9258712631719115,0.17776970437522557,0.1706638943204845,0.1645918607435874,Low,0
8928300052bffff,0.9629360680502824,0.9142034322301438,0.1837291042201877,0.1769193812041881,0.16796577767866538,Low,0
8928300052fffff,0.8034197224875664,0.9332148086226228,0.18224003686948578,0.14641523984780613,0.17006910113053691,Low,0
89283000533ffff,0.8086762593645402,0.9171304726290066,0.17925930257362524,0.14496274226153555,0.164404168892495,Low,0
89283000537ffff,0.7366929928389312,0.9131778782123949,0.1807494756549199,0.13315687217429045,0.16505642266656267,Low,0
8928300053bffff,0.743264471568665,0.9156500342932135,0.18074900865783328,0.1343443164066245,0.16550283597600937,Low,0
89283000547ffff,0.767287657595889,0.9288270850195823,0.11220464377949518,0.08609323829695,0.10421871220736913,Low,0
89283000557ffff,0.7432345258762298,0.9245430961406682,0.09576227729709874,0.07117383076373723,0.08853635234574089,Low,0
89283000563ffff,0.7926799248939035,0.9219858026207299,0.1762790151879082,0.13973283651952234,0.1625267493032154,Low,0
89283000567ffff,0.775244382949205,0.9178775387720937,0.17776877707919672,0.13781424589439664,0.16316996757597807,Low,0
8928300056bffff,0.7892127305429283,0.9199329618395545,0.17925868292583536,0.14147323462542752,0.1649059711194213,Low,0
8928300056fffff,0.8212056594391685,0.9390884374625934,0.18223929092172914,0.14965593707710503,0.1711388109559776,Low,0
89283000573ffff,0.7526566818820802,0.9302907985857983,0.1807489502103902,0.13604190511902162,0.1681490852347686,Low,0
89283000577ffff,0.9610484730255633,0.9188438789223297,0.18223956518938245,0.1751410558500986,0.16744970897173092,Low,0
8928300057bffff,0.9208369953506171,0.9166068529811764,0.09427192292996248,0.08680907425675159,0.08641029060131691,Low,0
89283000583ffff,0.7592016275944992,0.9188809775614666,0.17926119482175149,0.13609539087320832,0.1647197019366475,Low,0
89283000587ffff,0.9576139189353309,0.9210226287245142,0.17777017076307783,0.17023518989423395,0.16373034998501573,Low,0
8928300058bffff,0.7916809368495962,0.9244146789237192,0.18224034894312582,0.14427621018309117,0.16846565365520622,Low,0
8928300058fffff,0.8068493483439384,0.9187976217505883,0.17776885476941223,0.14343268462654848,0.1633336009834617,Low,0
89283000593ffff,0.95224064361626,0.9230269517151105,0.18671539736765586,0.17779799016244235,0.17234334407054294,Low,0
89283000597ffff,0.7965546375813735,0.923498855092054,0.18075603555435119,0.14398205839164208,0.16692799188542193,Low,0
8928300059bffff,0.7502849528645699,0.9163076932734212,0.17180982411247908,0.12890632578590142,0.15743066361421792,Low,0
892830005a3ffff,0.8024370017085796,0.9409444813585413,0.17777147669536564,0.14265041074873583,0.16727308993946283,Low,0
892830005a7ffff,0.9644232811174521,0.9652589499709807,0.1762839677749888,0.1700123626099579,0.1701596776312039,Low,0
892830005abffff,0.8021112610903594,0.9421233917117117,0.185219505073495,0.14856665079303327,0.17449962833100569,Low,0
892830005afffff,0.8436828108581359,0.9603367623000267,0.17926040759565887,0.15123892455588062,0.17215035943899815,Low,0
892830005b3ffff,0.7544366736574275,0.909348117518607,0.1822431357232564,0.13749090511195267,0.16572245240063121,Low,0
